Seed,Single Tree,Manual Bagging,Random Forest
0,0.8400466720779222,0.8653104707792207,0.8160004058441559
1,0.8051948051948051,0.8709922889610391,0.8444094967532467
2,0.8314732142857142,0.8623173701298701,0.8336038961038961
3,0.7687702922077922,0.8608969155844155,0.8301034902597403
4,0.830762987012987,0.8740868506493507,0.8146814123376623
5,0.8365462662337663,0.8781452922077921,0.8285308441558441
6,0.8312195616883117,0.8808340097402597,0.8277191558441559
7,0.7913453733766234,0.8504464285714286,0.8028612012987013
8,0.8076806006493507,0.8637378246753247,0.8284801136363636
9,0.8483157467532468,0.8839285714285714,0.824320211038961
10,0.7127637987012987,0.8661728896103896,0.8330965909090909
11,0.7864752435064936,0.8628246753246753,0.8345170454545454
12,0.778814935064935,0.8472504058441558,0.8044845779220778
13,0.8220373376623378,0.8742897727272726,0.8281757305194805
14,0.830762987012987,0.8571428571428571,0.8030133928571428
15,0.7568993506493507,0.8195008116883117,0.808695211038961
16,0.813869724025974,0.8598823051948051,0.8129058441558442
17,0.8144277597402598,0.875,0.8351765422077922
18,0.788961038961039,0.861810064935065,0.8147321428571428
19,0.825487012987013,0.8650568181818182,0.8219866071428572
20,0.8123478084415584,0.8523741883116884,0.8309659090909091
21,0.8271103896103896,0.8811383928571428,0.8325892857142857
22,0.8156452922077921,0.8624188311688312,0.8359375
23,0.7679586038961039,0.8635349025974026,0.8480620941558441
24,0.7392958603896105,0.8586647727272728,0.843648538961039
